(senior) qa compliance manager,2022/12/15,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/XMLNAME--Senior--QA-Compliance-Manager_R16855-3
"privacy counsel, apac",2022/12/22,singapore,https://refinitiv.wd3.myworkdayjobs.com/Careers/job/SGP-Singapore-1-Raffles-Quay/Privacy-Counsel--APAC_R0060374
legal manager,2022/12/28,china,https://wd1.myworkdaysite.com/recruiting/abinbev/CHN/job/Shanghai/Legal-Manager_30035293
legal counsel,2023/1/5,singapore,https://averis.wd3.myworkdayjobs.com/RGE/job/Singapore/Legal-Counsel_R133693
(senior) quality compliance auditor,2023/1/10,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/XMLNAME--Senior--Quality-Compliance-Auditor_R17151-3
"counsel, gm china",2023/1/10,china,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Shanghai-China/Counsel--GM-China_JR-000101914
corporate counsel,2023/1/12,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/Corporate-Counsel_R16314
finance manager,2023/1/16,hong kong sar,https://linklaters.wd3.myworkdayjobs.com/Linklaters/job/Hong-Kong/Finance-Manager_R00007844
research solution consultant,2023/1/16,china,https://relx.wd3.myworkdayjobs.com/LexisNexisLegal/job/Beijing/Research-Solution-Consultant_R54555
privacy consultant,2023/1/16,china,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers/job/Shanghai/Privacy-Consultant_JR-112002-2
privacy and data management manager,2023/1/18,china,https://wd1.myworkdaysite.com/recruiting/paypal/jobs/job/Shanghai-China/Privacy-and-Data-Management-Manager_R0098978
senior vice president / vice president - listing enforcement,2023/1/18,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Senior-Vice-President---Vice-President---Listing-Enforcement_IRC17179
"associate - listing - listed issuer regulation (legal, accounting, corporate finance, investment banking)",2023/1/27,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Listed-Issuer-Regulation---Listing---Associate--Legal--Accounting--Corporate-Finance--Investment-Banking-_R000121
intern (corporate & finance),2023/1/30,china,https://hoganlovells.wd3.myworkdayjobs.com/Search/job/Beijing/Intern--Corporate---Finance-_R223524-1
intern (ipmt),2023/1/30,china,https://hoganlovells.wd3.myworkdayjobs.com/Search/job/Beijing/Intern_R223321
intern (acer),2023/1/30,china,https://hoganlovells.wd3.myworkdayjobs.com/Search/job/Beijing/Intern--ACER-_R223323
paralegal,2023/1/30,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Paralegal_JR00011099
senior legal manager,2023/2/1,china,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/China/Senior-Legal-Manager_R-143997
legal counsel,2023/2/2,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Beijing-Guomao/Legal-Counsel_R17439
kering multicategory product compliance executive,2023/2/2,mainland china,https://kering.wd3.myworkdayjobs.com/Kering/job/Shanghai/KERING-Multicategory-Product-Compliance-Executive_R102911-2
kering senior group corporate counsel,2023/2/2,mainland china,https://kering.wd3.myworkdayjobs.com/Kering/job/Shanghai/KERING-Senior-Group-Corporate-Counsel_R103115
"manager, healthcare compliance",2023/2/3,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Beijing-Guomao/Manager--Healthcare-Compliance_R17453
legal editor,2023/2/7,malaysia,https://relx.wd3.myworkdayjobs.com/LexisNexisLegal/job/Malaysia/Legal-Editor_R55880
